 F6 III MP       0.440   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G0-5 III        0.750   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G5-K0 III       0.980   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K0-2 III        1.080   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K0-2 III MP     1.100   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K2 III          1.200   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K3 III          1.340   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K2-3 III MR     1.230   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K4-5 III        1.520   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K7-M3 III       1.570   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 O4-9 I         -0.300    -4.773    -4.295     0.050     0.262     0.166     0.232     0.823     0.139    -0.115     0.892     0.234     0.080     0.132     0.008
 B0-2 I         -0.220    -3.725    -3.241     0.144     0.428     0.185     0.082     0.559     0.356     0.116     0.398     0.196     0.037     0.143     0.038
 B3-5 I         -0.110    -2.238    -2.014     0.337     0.200     0.094    -0.060     0.202     0.122     0.058     0.141     0.070     0.004     0.192     0.102
 B6-9 I         -0.040    -1.611    -1.436     0.322     0.050     0.082    -0.045     0.060     0.049     0.059     0.004     0.084     0.071     0.132     0.074
 A0-2 I          0.030     0.404     0.084     0.269     0.053     0.141    -0.090     0.036     0.052     0.159    -0.084     0.069     0.143     0.120     0.129
 A5-F0 I         0.130     4.358     2.665   -99.000     0.087     0.170    -0.053    -0.034    -0.018     0.228    -0.017     0.180     0.408     0.003     0.189
 F2-8 I          0.380   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000     0.198     0.347
 G0-3 I          0.840   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 G5-8  I         1.090   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K2-3 I          1.350   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
 K5-M4 I         1.640   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000   -99.000
